Year,Month,Entry Type,Tax Type,Amount
1992,December  ,Actual Outturn,Unallocated Tax Receipts,-50802
1992,December  ,Actual Outturn,Motor Vehicle Duties,22542
1993,January,Actual Outturn,Customs,14602
1993,January,Actual Outturn,Excise Duty,134402
1993,January,Actual Outturn,Capital Gains Tax,4221
1993,January,Actual Outturn,Stamps,25675
1993,January,Actual Outturn,Income Tax,387015
1993,January,Actual Outturn,Corporation Tax,41745
1993,January,Actual Outturn,Valued Added Tax,308774
1993,January,Actual Outturn,Training and Employment Levy,16008
1993,January,Actual Outturn,Unallocated Tax Receipts,50745
1993,January,Actual Outturn,Motor Vehicle Duties,21964
1993,February,Actual Outturn,Customs,5079
1993,February,Actual Outturn,Excise Duty,171507
1993,February,Actual Outturn,Capital Gains Tax,6769
1993,February,Actual Outturn,Stamps,17609
1993,February,Actual Outturn,Income Tax,353509
1993,February,Actual Outturn,Corporation Tax,46590
1993,February,Actual Outturn,Valued Added Tax,59864
1993,February,Actual Outturn,Training and Employment Levy,13655
1993,February,Actual Outturn,Unallocated Tax Receipts,-6313
1993,February,Actual Outturn,Motor Vehicle Duties,26339
1993,March,Actual Outturn,Customs,28061
1993,March,Actual Outturn,Excise Duty,172036
1993,March,Actual Outturn,Capital Gains Tax,9260
1993,March,Actual Outturn,Stamps,22187
1993,March,Actual Outturn,Income Tax,331052
1993,March,Actual Outturn,Corporation Tax,25143
1993,March,Actual Outturn,Valued Added Tax,342406
1993,March,Actual Outturn,Training and Employment Levy,13590
1993,March,Actual Outturn,Unallocated Tax Receipts,2717
1993,March,Actual Outturn,Motor Vehicle Duties,32827
1993,April,Actual Outturn,Customs,20570
1993,April,Actual Outturn,Excise Duty,168009
1993,April,Actual Outturn,Capital Gains Tax,6504
1993,April,Actual Outturn,Stamps,12442
1993,April,Actual Outturn,Income Tax,523555
1993,April,Actual Outturn,Corporation Tax,43721
1993,April,Actual Outturn,Valued Added Tax,42032
1993,April,Actual Outturn,Training and Employment Levy,379
1993,April,Actual Outturn,Unallocated Tax Receipts,12049
1993,April,Actual Outturn,Motor Vehicle Duties,25120
1993,May,Actual Outturn,Customs,16634
1993,May,Actual Outturn,Excise Duty,171982
1993,May,Actual Outturn,Capital Gains Tax,4309
1993,May,Actual Outturn,Stamps,18707
1993,May,Actual Outturn,Income Tax,342427
1993,May,Actual Outturn,Corporation Tax,60376
1993,May,Actual Outturn,Valued Added Tax,394132
1993,May,Actual Outturn,Training and Employment Levy,29929
1993,May,Actual Outturn,Unallocated Tax Receipts,3314
1993,May,Actual Outturn,Motor Vehicle Duties,26131
1993,June,Actual Outturn,Customs,15491
1993,June,Actual Outturn,Excise Duty,171759
1993,June,Actual Outturn,Capital Gains Tax,5635
1993,June,Actual Outturn,Stamps,23707
1993,June,Actual Outturn,Income Tax,358602
1993,June,Actual Outturn,Corporation Tax,82670
1993,June,Actual Outturn,Valued Added Tax,78343
1993,June,Actual Outturn,Training and Employment Levy,19778
1993,June,Actual Outturn,Unallocated Tax Receipts,-6044
1993,June,Actual Outturn,Motor Vehicle Duties,25473
1993,July,Actual Outturn,Customs,17776
1993,July,Actual Outturn,Excise Duty,225875
1993,July,Actual Outturn,Capital Gains Tax,15925
1993,July,Actual Outturn,Stamps,22716
1993,July,Actual Outturn,Income Tax,350194
1993,July,Actual Outturn,Corporation Tax,339040
1993,July,Actual Outturn,Valued Added Tax,398975
1993,July,Actual Outturn,Training and Employment Levy,17172
1993,July,Actual Outturn,Unallocated Tax Receipts,5210
1993,July,Actual Outturn,Motor Vehicle Duties,25324
1993,August,Actual Outturn,Customs,15872
1993,August,Actual Outturn,Excise Duty,201086
1993,August,Actual Outturn,Capital Gains Tax,9691
1993,August,Actual Outturn,Stamps,26285
1993,August,Actual Outturn,Income Tax,356762
1993,August,Actual Outturn,Corporation Tax,300914
1993,August,Actual Outturn,Valued Added Tax,95773
1993,August,Actual Outturn,Training and Employment Levy,16406
1993,August,Actual Outturn,Unallocated Tax Receipts,4788
1993,August,Actual Outturn,Motor Vehicle Duties,23989
1993,September,Actual Outturn,Customs,15999
1993,September,Actual Outturn,Excise Duty,195532
1993,September,Actual Outturn,Capital Gains Tax,6347
1993,September,Actual Outturn,Stamps,63478
1993,September,Actual Outturn,Income Tax,321674
1993,September,Actual Outturn,Corporation Tax,63034
1993,September,Actual Outturn,Valued Added Tax,404784
1993,September,Actual Outturn,Training and Employment Levy,18912
1993,September,Actual Outturn,Unallocated Tax Receipts,-20670
1993,September,Actual Outturn,Motor Vehicle Duties,24776
1993,October,Actual Outturn,Customs,16634
1993,October,Actual Outturn,Excise Duty,181913
1993,October,Actual Outturn,Capital Gains Tax,12558
1993,October,Actual Outturn,Stamps,19381
1993,October,Actual Outturn,Income Tax,526497
1993,October,Actual Outturn,Corporation Tax,65804
1993,October,Actual Outturn,Valued Added Tax,132100
1993,October,Actual Outturn,Training and Employment Levy,15488
1993,October,Actual Outturn,Unallocated Tax Receipts,7160
1993,October,Actual Outturn,Motor Vehicle Duties,22671
1993,November,Actual Outturn,Customs,15237
1993,November,Actual Outturn,Excise Duty,189868
1993,November,Actual Outturn,Capital Gains Tax,20869
1993,November,Actual Outturn,Stamps,24388
1993,November,Actual Outturn,Income Tax,603263
1993,November,Actual Outturn,Corporation Tax,88403
1993,November,Actual Outturn,Valued Added Tax,420611
1993,November,Actual Outturn,Training and Employment Levy,24645
1993,November,Actual Outturn,Unallocated Tax Receipts,399014
1993,November,Actual Outturn,Motor Vehicle Duties,22180
1993,December  ,Actual Outturn,Customs,19650
1993,December  ,Actual Outturn,Excise Duty,246836
1993,December  ,Actual Outturn,Capital Gains Tax,8799
1993,December  ,Actual Outturn,Stamps,12040
1993,December  ,Actual Outturn,Income Tax,359128
1993,December  ,Actual Outturn,Corporation Tax,50969
1993,December  ,Actual Outturn,Valued Added Tax,283026
1993,December  ,Actual Outturn,Training and Employment Levy,18470
1993,December  ,Actual Outturn,Unallocated Tax Receipts,-451969
1993,December  ,Actual Outturn,Motor Vehicle Duties,26047
1994,January,Actual Outturn,Customs,20062
1994,January,Actual Outturn,Excise Duty,161396
1994,January,Actual Outturn,Capital Gains Tax,14748
1994,January,Actual Outturn,Stamps,36104
1994,January,Actual Outturn,Income Tax,635190
1994,January,Actual Outturn,Corporation Tax,48702
1994,January,Actual Outturn,Valued Added Tax,282074
1994,January,Actual Outturn,Training and Employment Levy,17091
1994,January,Actual Outturn,Unallocated Tax Receipts,149717
1994,January,Actual Outturn,Motor Vehicle Duties,22716
1994,February,Actual Outturn,Customs,22474
1994,February,Actual Outturn,Excise Duty,210827
1994,February,Actual Outturn,Capital Gains Tax,6896
1994,February,Actual Outturn,Stamps,21478
1994,February,Actual Outturn,Income Tax,440092
1994,February,Actual Outturn,Corporation Tax,20654
1994,February,Actual Outturn,Valued Added Tax,121834
1994,February,Actual Outturn,Training and Employment Levy,17841
1994,February,Actual Outturn,Unallocated Tax Receipts,-14459
1994,February,Actual Outturn,Motor Vehicle Duties,27373
1994,March,Actual Outturn,Customs,22728
1994,March,Actual Outturn,Excise Duty,182499
1994,March,Actual Outturn,Capital Gains Tax,9382
1994,March,Actual Outturn,Stamps,24069
1994,March,Actual Outturn,Income Tax,390282
1994,March,Actual Outturn,Corporation Tax,93934
1994,March,Actual Outturn,Valued Added Tax,390287
1994,March,Actual Outturn,Training and Employment Levy,17398
1994,March,Actual Outturn,Unallocated Tax Receipts,-54189
1994,March,Actual Outturn,Motor Vehicle Duties,32848
1994,April,Actual Outturn,Customs,22220
1994,April,Actual Outturn,Excise Duty,204640
1994,April,Actual Outturn,Capital Gains Tax,5809
1994,April,Actual Outturn,Stamps,21092
1994,April,Actual Outturn,Income Tax,424336
1994,April,Actual Outturn,Corporation Tax,31144
1994,April,Actual Outturn,Valued Added Tax,103122
1994,April,Actual Outturn,Training and Employment Levy,16756
1994,April,Actual Outturn,Unallocated Tax Receipts,10930
1994,April,Actual Outturn,Motor Vehicle Duties,26386
1994,May,Actual Outturn,Customs,18411
1994,May,Actual Outturn,Excise Duty,206193
1994,May,Actual Outturn,Capital Gains Tax,6129
1994,May,Actual Outturn,Stamps,26518
1994,May,Actual Outturn,Income Tax,385776
1994,May,Actual Outturn,Corporation Tax,109746
1994,May,Actual Outturn,Valued Added Tax,413113
1994,May,Actual Outturn,Training and Employment Levy,16342
1994,May,Actual Outturn,Unallocated Tax Receipts,41730
1994,May,Actual Outturn,Motor Vehicle Duties,28600
1994,June,Actual Outturn,Customs,18665
1994,June,Actual Outturn,Excise Duty,214614
1994,June,Actual Outturn,Capital Gains Tax,7764
1994,June,Actual Outturn,Stamps,28153
1994,June,Actual Outturn,Income Tax,382853
1994,June,Actual Outturn,Corporation Tax,741672
1994,June,Actual Outturn,Valued Added Tax,122879
1994,June,Actual Outturn,Training and Employment Levy,19967
1994,June,Actual Outturn,Unallocated Tax Receipts,-40440
1994,June,Actual Outturn,Motor Vehicle Duties,28692
1994,July,Actual Outturn,Customs,18094
1994,July,Actual Outturn,Excise Duty,222307
1994,July,Actual Outturn,Capital Gains Tax,10699
1994,July,Actual Outturn,Stamps,26988
1994,July,Actual Outturn,Income Tax,373882
1994,July,Actual Outturn,Corporation Tax,133650
1994,July,Actual Outturn,Valued Added Tax,423713
1994,July,Actual Outturn,Training and Employment Levy,17757
1994,July,Actual Outturn,Unallocated Tax Receipts,-23061
1994,July,Actual Outturn,Motor Vehicle Duties,26211
1994,August,Actual Outturn,Customs,14602
1994,August,Actual Outturn,Excise Duty,211902
1994,August,Actual Outturn,Capital Gains Tax,5884
1994,August,Actual Outturn,Stamps,30296
1994,August,Actual Outturn,Income Tax,376656
1994,August,Actual Outturn,Corporation Tax,26804
1994,August,Actual Outturn,Valued Added Tax,115168
1994,August,Actual Outturn,Training and Employment Levy,19618
1994,August,Actual Outturn,Unallocated Tax Receipts,-3955
1994,August,Actual Outturn,Motor Vehicle Duties,25795
1994,September,Actual Outturn,Customs,18538
1994,September,Actual Outturn,Excise Duty,212404
1994,September,Actual Outturn,Capital Gains Tax,8484
1994,September,Actual Outturn,Stamps,71349
1994,September,Actual Outturn,Income Tax,321014
1994,September,Actual Outturn,Corporation Tax,132274
1994,September,Actual Outturn,Valued Added Tax,433021
1994,September,Actual Outturn,Training and Employment Levy,14968
1994,September,Actual Outturn,Unallocated Tax Receipts,9598
1994,September,Actual Outturn,Motor Vehicle Duties,25189
1994,October,Actual Outturn,Customs,21586
1994,October,Actual Outturn,Excise Duty,221280
1994,October,Actual Outturn,Capital Gains Tax,18983
1994,October,Actual Outturn,Stamps,21092
1994,October,Actual Outturn,Income Tax,478817
1994,October,Actual Outturn,Corporation Tax,39077
1994,October,Actual Outturn,Valued Added Tax,153947
1994,October,Actual Outturn,Training and Employment Levy,13850
1994,October,Actual Outturn,Unallocated Tax Receipts,-24451
1994,October,Actual Outturn,Motor Vehicle Duties,22562
1994,November,Actual Outturn,Customs,22093
1994,November,Actual Outturn,Excise Duty,165922
1994,November,Actual Outturn,Capital Gains Tax,42014
1994,November,Actual Outturn,Stamps,28252
1994,November,Actual Outturn,Income Tax,633814
1994,November,Actual Outturn,Corporation Tax,67323
1994,November,Actual Outturn,Valued Added Tax,446672
1994,November,Actual Outturn,Training and Employment Levy,28240
1994,November,Actual Outturn,Unallocated Tax Receipts,-2151
1994,November,Actual Outturn,Motor Vehicle Duties,24032
1994,December  ,Actual Outturn,Customs,22982
1994,December  ,Actual Outturn,Excise Duty,274216
1994,December  ,Actual Outturn,Capital Gains Tax,15745
1994,December  ,Actual Outturn,Stamps,19452
1994,December  ,Actual Outturn,Income Tax,379092
1994,December  ,Actual Outturn,Corporation Tax,2520
1994,December  ,Actual Outturn,Valued Added Tax,299044
1994,December  ,Actual Outturn,Training and Employment Levy,29337
1994,December  ,Actual Outturn,Unallocated Tax Receipts,-49270
1994,December  ,Actual Outturn,Motor Vehicle Duties,25775
1995,January,Actual Outturn,Customs,21078
1995,January,Actual Outturn,Excise Duty,185116
1995,January,Actual Outturn,Capital Gains Tax,8662
1995,January,Actual Outturn,Stamps,37476
1995,January,Actual Outturn,Income Tax,432699
1995,January,Actual Outturn,Corporation Tax,24364
1995,January,Actual Outturn,Valued Added Tax,364619
1995,January,Actual Outturn,Training and Employment Levy,16947
1995,January,Actual Outturn,Unallocated Tax Receipts,58746
1995,January,Actual Outturn,Motor Vehicle Duties,26393
1995,February,Actual Outturn,Customs,21713
1995,February,Actual Outturn,Excise Duty,204322
1995,February,Actual Outturn,Capital Gains Tax,7075
1995,February,Actual Outturn,Stamps,20900
1995,February,Actual Outturn,Income Tax,366633
1995,February,Actual Outturn,Corporation Tax,12852
1995,February,Actual Outturn,Valued Added Tax,116384
1995,February,Actual Outturn,Training and Employment Levy,14742
1995,February,Actual Outturn,Unallocated Tax Receipts,5228
1995,February,Actual Outturn,Motor Vehicle Duties,28040
1995,March,Actual Outturn,Customs,21966
1995,March,Actual Outturn,Excise Duty,212206
1995,March,Actual Outturn,Capital Gains Tax,9881
1995,March,Actual Outturn,Stamps,23171
1995,March,Actual Outturn,Income Tax,386318
1995,March,Actual Outturn,Corporation Tax,90677
1995,March,Actual Outturn,Valued Added Tax,395873
1995,March,Actual Outturn,Training and Employment Levy,15848
1995,March,Actual Outturn,Unallocated Tax Receipts,-9020
1995,March,Actual Outturn,Motor Vehicle Duties,31123
1995,April,Actual Outturn,Customs,23871
1995,April,Actual Outturn,Excise Duty,206807
1995,April,Actual Outturn,Capital Gains Tax,8940
1995,April,Actual Outturn,Stamps,19014
1995,April,Actual Outturn,Income Tax,430851
1995,April,Actual Outturn,Corporation Tax,7450
1995,April,Actual Outturn,Valued Added Tax,130210
1995,April,Actual Outturn,Training and Employment Levy,13220
1995,April,Actual Outturn,Unallocated Tax Receipts,14436
1995,April,Actual Outturn,Motor Vehicle Duties,27657
1995,May,Actual Outturn,Customs,22347
1995,May,Actual Outturn,Excise Duty,229739
1995,May,Actual Outturn,Capital Gains Tax,9129
1995,May,Actual Outturn,Stamps,33313
1995,May,Actual Outturn,Income Tax,437604
1995,May,Actual Outturn,Corporation Tax,128226
1995,May,Actual Outturn,Valued Added Tax,459481
1995,May,Actual Outturn,Training and Employment Levy,18790
1995,May,Actual Outturn,Unallocated Tax Receipts,25782
1995,May,Actual Outturn,Motor Vehicle Duties,32216
1995,June,Actual Outturn,Customs,17395
1995,June,Actual Outturn,Excise Duty,214256
1995,June,Actual Outturn,Capital Gains Tax,8901
1995,June,Actual Outturn,Stamps,30234
1995,June,Actual Outturn,Income Tax,387836
1995,June,Actual Outturn,Corporation Tax,708754
1995,June,Actual Outturn,Valued Added Tax,123067
1995,June,Actual Outturn,Training and Employment Levy,21969
1995,June,Actual Outturn,Unallocated Tax Receipts,-20044
1995,June,Actual Outturn,Motor Vehicle Duties,27551
1995,July,Actual Outturn,Customs,20697
1995,July,Actual Outturn,Excise Duty,216203
1995,July,Actual Outturn,Capital Gains Tax,13045
1995,July,Actual Outturn,Stamps,34711
1995,July,Actual Outturn,Income Tax,411931
1995,July,Actual Outturn,Corporation Tax,130829
1995,July,Actual Outturn,Valued Added Tax,460062
1995,July,Actual Outturn,Training and Employment Levy,17302
1995,July,Actual Outturn,Unallocated Tax Receipts,-29092
1995,July,Actual Outturn,Motor Vehicle Duties,28266
1995,August,Actual Outturn,Customs,20062
1995,August,Actual Outturn,Excise Duty,224349
1995,August,Actual Outturn,Capital Gains Tax,8896
1995,August,Actual Outturn,Stamps,31561
1995,August,Actual Outturn,Income Tax,398596
1995,August,Actual Outturn,Corporation Tax,38006
1995,August,Actual Outturn,Valued Added Tax,145098
1995,August,Actual Outturn,Training and Employment Levy,18667
1995,August,Actual Outturn,Unallocated Tax Receipts,5673
1995,August,Actual Outturn,Motor Vehicle Duties,26145
1995,September,Actual Outturn,Customs,21839
1995,September,Actual Outturn,Excise Duty,252298
1995,September,Actual Outturn,Capital Gains Tax,10276
1995,September,Actual Outturn,Stamps,55004
1995,September,Actual Outturn,Income Tax,375017
1995,September,Actual Outturn,Corporation Tax,182849
1995,September,Actual Outturn,Valued Added Tax,484781
1995,September,Actual Outturn,Training and Employment Levy,16426
1995,September,Actual Outturn,Unallocated Tax Receipts,-142
1995,September,Actual Outturn,Motor Vehicle Duties,23855
1995,October,Actual Outturn,Customs,15237
1995,October,Actual Outturn,Excise Duty,188805
1995,October,Actual Outturn,Capital Gains Tax,17121
1995,October,Actual Outturn,Stamps,34928
1995,October,Actual Outturn,Income Tax,583600
1995,October,Actual Outturn,Corporation Tax,47590
1995,October,Actual Outturn,Valued Added Tax,174492
1995,October,Actual Outturn,Training and Employment Levy,17188
1995,October,Actual Outturn,Unallocated Tax Receipts,-10516
1995,October,Actual Outturn,Motor Vehicle Duties,25923
1995,November,Actual Outturn,Customs,23490
1995,November,Actual Outturn,Excise Duty,192778
1995,November,Actual Outturn,Capital Gains Tax,37448
1995,November,Actual Outturn,Stamps,26023
1995,November,Actual Outturn,Income Tax,634941
1995,November,Actual Outturn,Corporation Tax,51355
1995,November,Actual Outturn,Valued Added Tax,520321
1995,November,Actual Outturn,Training and Employment Levy,27860
1995,November,Actual Outturn,Unallocated Tax Receipts,8770
1995,November,Actual Outturn,Motor Vehicle Duties,25038
1995,December  ,Actual Outturn,Customs,23871
1995,December  ,Actual Outturn,Excise Duty,389077
1995,December  ,Actual Outturn,Capital Gains Tax,9298
1995,December  ,Actual Outturn,Stamps,14406
1995,December  ,Actual Outturn,Income Tax,404578
1995,December  ,Actual Outturn,Corporation Tax,31867
1995,December  ,Actual Outturn,Valued Added Tax,294412
1995,December  ,Actual Outturn,Training and Employment Levy,17422
1995,December  ,Actual Outturn,Unallocated Tax Receipts,-49819
1995,December  ,Actual Outturn,Motor Vehicle Duties,20262
1996,January,Actual Outturn,Customs,22347
1996,January,Actual Outturn,Excise Duty,142814
1996,January,Actual Outturn,Capital Gains Tax,6680
1996,January,Actual Outturn,Stamps,43024
1996,January,Actual Outturn,Income Tax,448218
1996,January,Actual Outturn,Corporation Tax,29482
1996,January,Actual Outturn,Valued Added Tax,379163
1996,January,Actual Outturn,Training and Employment Levy,17694
1996,January,Actual Outturn,Unallocated Tax Receipts,52176
1996,January,Actual Outturn,Motor Vehicle Duties,29792
1996,February,Actual Outturn,Customs,24379
1996,February,Actual Outturn,Excise Duty,196289
1996,February,Actual Outturn,Capital Gains Tax,8911
1996,February,Actual Outturn,Stamps,26770
1996,February,Actual Outturn,Income Tax,394993
1996,February,Actual Outturn,Corporation Tax,21408
1996,February,Actual Outturn,Valued Added Tax,167052
1996,February,Actual Outturn,Training and Employment Levy,16295
1996,February,Actual Outturn,Unallocated Tax Receipts,877
1996,February,Actual Outturn,Motor Vehicle Duties,31180
1996,March,Actual Outturn,Customs,21332
1996,March,Actual Outturn,Excise Duty,243734
1996,March,Actual Outturn,Capital Gains Tax,7627
1996,March,Actual Outturn,Stamps,24906
1996,March,Actual Outturn,Income Tax,414258
1996,March,Actual Outturn,Corporation Tax,86248
1996,March,Actual Outturn,Valued Added Tax,442219
1996,March,Actual Outturn,Training and Employment Levy,14704
1996,March,Actual Outturn,Unallocated Tax Receipts,-13699
1996,March,Actual Outturn,Motor Vehicle Duties,31503
1996,April,Actual Outturn,Customs,20189
1996,April,Actual Outturn,Excise Duty,245054
1996,April,Actual Outturn,Capital Gains Tax,15470
1996,April,Actual Outturn,Stamps,30163
1996,April,Actual Outturn,Income Tax,511946
1996,April,Actual Outturn,Corporation Tax,78136
1996,April,Actual Outturn,Valued Added Tax,155971
1996,April,Actual Outturn,Training and Employment Levy,17366
1996,April,Actual Outturn,Unallocated Tax Receipts,5248
1996,April,Actual Outturn,Motor Vehicle Duties,33158
1996,May,Actual Outturn,Customs,18538
1996,May,Actual Outturn,Excise Duty,246873
1996,May,Actual Outturn,Capital Gains Tax,10162
1996,May,Actual Outturn,Stamps,39545
1996,May,Actual Outturn,Income Tax,472528
1996,May,Actual Outturn,Corporation Tax,139763
1996,May,Actual Outturn,Valued Added Tax,510998
1996,May,Actual Outturn,Training and Employment Levy,19708
1996,May,Actual Outturn,Unallocated Tax Receipts,4379
1996,May,Actual Outturn,Motor Vehicle Duties,29907
1996,June,Actual Outturn,Customs,18411
1996,June,Actual Outturn,Excise Duty,243761
1996,June,Actual Outturn,Capital Gains Tax,9185
1996,June,Actual Outturn,Stamps,32987
1996,June,Actual Outturn,Income Tax,442242
1996,June,Actual Outturn,Corporation Tax,376284
1996,June,Actual Outturn,Valued Added Tax,164170
1996,June,Actual Outturn,Training and Employment Levy,21062
1996,June,Actual Outturn,Unallocated Tax Receipts,-14784
1996,June,Actual Outturn,Motor Vehicle Duties,24929
1996,July,Actual Outturn,Customs,13459
1996,July,Actual Outturn,Excise Duty,246435
1996,July,Actual Outturn,Capital Gains Tax,20422
1996,July,Actual Outturn,Stamps,46773
1996,July,Actual Outturn,Income Tax,462182
1996,July,Actual Outturn,Corporation Tax,680314
1996,July,Actual Outturn,Valued Added Tax,481287
1996,July,Actual Outturn,Training and Employment Levy,19466
1996,July,Actual Outturn,Unallocated Tax Receipts,1738
1996,July,Actual Outturn,Motor Vehicle Duties,30996
1996,August,Actual Outturn,Customs,16634
1996,August,Actual Outturn,Excise Duty,238372
1996,August,Actual Outturn,Capital Gains Tax,10152
1996,August,Actual Outturn,Stamps,31077
1996,August,Actual Outturn,Income Tax,412274
1996,August,Actual Outturn,Corporation Tax,28570
1996,August,Actual Outturn,Valued Added Tax,186895
1996,August,Actual Outturn,Training and Employment Levy,17987
1996,August,Actual Outturn,Unallocated Tax Receipts,17392
1996,August,Actual Outturn,Motor Vehicle Duties,24726
1996,September,Actual Outturn,Customs,5841
1996,September,Actual Outturn,Excise Duty,257112
1996,September,Actual Outturn,Capital Gains Tax,15124
1996,September,Actual Outturn,Stamps,50324
1996,September,Actual Outturn,Income Tax,412627
1996,September,Actual Outturn,Corporation Tax,197967
1996,September,Actual Outturn,Valued Added Tax,510054
1996,September,Actual Outturn,Training and Employment Levy,17876
1996,September,Actual Outturn,Unallocated Tax Receipts,-4009
1996,September,Actual Outturn,Motor Vehicle Duties,23781
1996,October,Actual Outturn,Customs,15999
1996,October,Actual Outturn,Excise Duty,226688
1996,October,Actual Outturn,Capital Gains Tax,28507
1996,October,Actual Outturn,Stamps,39580
1996,October,Actual Outturn,Income Tax,653408
1996,October,Actual Outturn,Corporation Tax,70582
1996,October,Actual Outturn,Valued Added Tax,212640
1996,October,Actual Outturn,Training and Employment Levy,17145
1996,October,Actual Outturn,Unallocated Tax Receipts,6335
1996,October,Actual Outturn,Motor Vehicle Duties,26827
1996,November,Actual Outturn,Customs,16761
1996,November,Actual Outturn,Excise Duty,229979
1996,November,Actual Outturn,Capital Gains Tax,60380
1996,November,Actual Outturn,Stamps,33012
1996,November,Actual Outturn,Income Tax,721061
1996,November,Actual Outturn,Corporation Tax,39060
1996,November,Actual Outturn,Valued Added Tax,555550
1996,November,Actual Outturn,Training and Employment Levy,21607
1996,November,Actual Outturn,Unallocated Tax Receipts,5968
1996,November,Actual Outturn,Motor Vehicle Duties,24018
1996,December  ,Actual Outturn,Customs,7555
1996,December  ,Actual Outturn,Excise Duty,428090
1996,December  ,Actual Outturn,Capital Gains Tax,33836
1996,December  ,Actual Outturn,Stamps,28636
1996,December  ,Actual Outturn,Income Tax,448573
1996,December  ,Actual Outturn,Corporation Tax,62648
1996,December  ,Actual Outturn,Valued Added Tax,176646
1996,December  ,Actual Outturn,Training and Employment Levy,21713
1996,December  ,Actual Outturn,Unallocated Tax Receipts,-61622
1996,December  ,Actual Outturn,Motor Vehicle Duties,16674
1997,January,Actual Outturn,Customs,10169
1997,January,Actual Outturn,Excise Duty,155567
1997,January,Actual Outturn,Capital Gains Tax,11401
1997,January,Actual Outturn,Stamps,50350
1997,January,Actual Outturn,Income Tax,545925
1997,January,Actual Outturn,Corporation Tax,20703
1997,January,Actual Outturn,Valued Added Tax,600777
1997,January,Actual Outturn,Training and Employment Levy,17309
1997,January,Actual Outturn,Unallocated Tax Receipts,67908
1997,January,Actual Outturn,Motor Vehicle Duties,30155
1997,February,Actual Outturn,Customs,18908
1997,February,Actual Outturn,Excise Duty,216536
1997,February,Actual Outturn,Capital Gains Tax,9807
1997,February,Actual Outturn,Stamps,37503
1997,February,Actual Outturn,Income Tax,450125
1997,February,Actual Outturn,Corporation Tax,21112
1997,February,Actual Outturn,Valued Added Tax,196986
1997,February,Actual Outturn,Training and Employment Levy,16463
1997,February,Actual Outturn,Unallocated Tax Receipts,5450
1997,February,Actual Outturn,Motor Vehicle Duties,31093
1997,March,Actual Outturn,Customs,20062
1997,March,Actual Outturn,Excise Duty,266291
1997,March,Actual Outturn,Capital Gains Tax,10141
1997,March,Actual Outturn,Stamps,29857
1997,March,Actual Outturn,Income Tax,451660
1997,March,Actual Outturn,Corporation Tax,60512
1997,March,Actual Outturn,Valued Added Tax,483981
1997,March,Actual Outturn,Training and Employment Levy,18162
1997,March,Actual Outturn,Unallocated Tax Receipts,-16745
1997,March,Actual Outturn,Motor Vehicle Duties,29632
1997,April,Actual Outturn,Customs,23998
1997,April,Actual Outturn,Excise Duty,258332
1997,April,Actual Outturn,Capital Gains Tax,39441
1997,April,Actual Outturn,Stamps,40995
1997,April,Actual Outturn,Income Tax,631700
1997,April,Actual Outturn,Corporation Tax,142296
1997,April,Actual Outturn,Valued Added Tax,222387
1997,April,Actual Outturn,Training and Employment Levy,17776
1997,April,Actual Outturn,Unallocated Tax Receipts,3873
1997,April,Actual Outturn,Motor Vehicle Duties,36094
1997,May,Actual Outturn,Customs,19808
1997,May,Actual Outturn,Excise Duty,242860
1997,May,Actual Outturn,Capital Gains Tax,13817
1997,May,Actual Outturn,Stamps,43461
1997,May,Actual Outturn,Income Tax,553476
1997,May,Actual Outturn,Corporation Tax,159049
1997,May,Actual Outturn,Valued Added Tax,575204
1997,May,Actual Outturn,Training and Employment Levy,20676
1997,May,Actual Outturn,Unallocated Tax Receipts,-10536
1997,June,Actual Outturn,Customs,19427
1997,June,Actual Outturn,Excise Duty,265651
1997,June,Actual Outturn,Capital Gains Tax,12657
1997,June,Actual Outturn,Stamps,42154
1997,June,Actual Outturn,Income Tax,485390
1997,June,Actual Outturn,Corporation Tax,1013271
1997,June,Actual Outturn,Valued Added Tax,180676
1997,June,Actual Outturn,Training and Employment Levy,23147
1997,June,Actual Outturn,Unallocated Tax Receipts,17115
1997,July,Actual Outturn,Customs,19554
1997,July,Actual Outturn,Excise Duty,275621
1997,July,Actual Outturn,Capital Gains Tax,19132
1997,July,Actual Outturn,Stamps,60950
1997,July,Actual Outturn,Income Tax,509694
1997,July,Actual Outturn,Corporation Tax,247848
1997,July,Actual Outturn,Valued Added Tax,597441
1997,July,Actual Outturn,Training and Employment Levy,-96845
1997,July,Actual Outturn,Unallocated Tax Receipts,-3758
1997,August,Actual Outturn,Customs,21839
1997,August,Actual Outturn,Excise Duty,261195
1997,August,Actual Outturn,Capital Gains Tax,10047
1997,August,Actual Outturn,Stamps,55828
1997,August,Actual Outturn,Income Tax,476351
1997,August,Actual Outturn,Corporation Tax,33592
1997,August,Actual Outturn,Valued Added Tax,167076
1997,August,Actual Outturn,Training and Employment Levy,135165
1997,August,Actual Outturn,Unallocated Tax Receipts,-3993
1997,September,Actual Outturn,Customs,18665
1997,September,Actual Outturn,Excise Duty,286243
1997,September,Actual Outturn,Capital Gains Tax,21663
1997,September,Actual Outturn,Stamps,46797
1997,September,Actual Outturn,Income Tax,462134
1997,September,Actual Outturn,Corporation Tax,175379
1997,September,Actual Outturn,Valued Added Tax,595253
1997,September,Actual Outturn,Training and Employment Levy,18813
1997,September,Actual Outturn,Unallocated Tax Receipts,2221
1997,October,Actual Outturn,Customs,19935
1997,October,Actual Outturn,Excise Duty,248583
